timestamp,unit_id,subsystem,temperature_c,pressure_kpa,vibration_rms,error_code,status
2026-08-17T08:00:00Z,TP-01,turbopump,61.4,6842,3.21,E000,RUNNING
2026-08-17T08:00:05Z,TP-01,turbopump,62.1,6871,3.35,E000,RUNNING
2026-08-17T08:00:10Z,TP-01,turbopump,63.0,6890,3.44,E000,RUNNING
2026-08-17T08:00:15Z,TP-01,turbopump,64.2,6912,3.51,E000,RUNNING
2026-08-17T08:00:20Z,TP-01,turbopump,65.0,6940,3.62,E101,RUNNING
2026-08-17T08:00:25Z,TP-01,turbopump,66.7,6975,4.02,E101,RUNNING
2026-08-17T08:00:30Z,TP-01,turbopump,68.9,7011,4.77,E203,DEGRADED
2026-08-17T08:00:35Z,TP-01,turbopump,72.4,7068,6.11,E203,DEGRADED
2026-08-17T08:00:40Z,TP-01,turbopump,79.8,7182,8.94,E305,ALARM
2026-08-17T08:00:45Z,TP-01,turbopump,81.2,7210,9.31,E305,ALARM
2026-08-17T08:00:50Z,TP-01,turbopump,84.7,7288,11.62,E401,TRIP
2026-08-17T08:00:55Z,TP-01,turbopump,84.7,7288,11.62,E401,TRIP
2026-08-17T08:01:00Z,TP-01,turbopump,84.6,7286,11.61,E401,TRIP
2026-08-17T08:01:05Z,TP-01,turbopump,,7282,11.59,E401,TRIP
2026-08-17T08:01:10Z,TP-01,turbopump,84.5,7279,0.00,E401,TRIP
2026-08-17T08:01:15Z,TP-01,turbopump,84.3,7270,11.43,E401,TRIP
2026-08-17T08:01:20Z,TP-01,turbopump,83.9,7259,11.18,E402,TRIP
2026-08-17T08:01:25Z,TP-01,turbopump,82.1,7198,9.72,E402,RECOVERY
2026-08-17T08:01:30Z,TP-01,turbopump,79.4,7122,7.14,E000,RUNNING
2026-08-17T08:01:35Z,TP-02,turbopump,59.2,6760,2.91,E000,RUNNING
2026-08-17T08:01:40Z,TP-02,turbopump,60.1,6784,2.98,E000,RUNNING
2026-08-17T08:01:45Z,TP-02,turbopump,61.3,6802,3.07,E000,RUNNING
2026-08-17T08:01:50Z,TP-02,turbopump,62.5,6817,3.14,E000,RUNNING
2026-08-17T08:01:55Z,TP-02,turbopump,63.1,6835,3.26,E000,RUNNING
2026-08-17T08:02:00Z,TP-02,turbopump,64.8,6851,3.41,E000,RUNNING
2026-08-17T08:02:05Z,TP-02,turbopump,65.7,6873,3.55,E000,RUNNING
2026-08-17T08:02:10Z,TP-02,turbopump,67.2,6891,3.79,E000,RUNNING
2026-08-17T08:02:15Z,TP-02,turbopump,69.0,6920,4.02,E110,RUNNING
